Date,LEI(YoY)_raw,LEI(YoY)_restored
1993-03-31,-61.17181200000002,0.06927583775599996
1993-04-30,-61.37445600000001,0.06884278752799998
1993-05-31,-64.57651200000001,0.06199999385599998
1993-06-30,-65.43341999999998,0.060168781460000036
1993-07-31,-67.000752,0.056819392976
1993-08-31,-64.93219200000001,0.06123990569599996
1993-09-30,-65.063232,0.06095987321600001
1993-10-31,-61.49613600000001,0.06858275736799997
1993-11-30,-63.908208,0.063428159504
1993-12-31,-62.865504000000016,0.06565641795199996
1994-01-31,-65.82560400000003,0.05933068425199995
1994-02-28,-67.40838000000002,0.05594829193999996
1994-03-31,-61.20550800000001,0.06920382940399998
1994-04-30,-60.02474400000003,0.07172712207199995
1994-05-31,-58.75599599999998,0.07443843654800003
1994-06-30,-56.132856000000004,0.08004408672799998
1994-07-31,-54.146664000000015,0.08428857903199997
1994-08-31,-53.75588400000001,0.08512367589199998
1994-09-30,-53.25512400000002,0.08619380001199994
1994-10-31,-52.87510800000001,0.08700589420399998
1994-11-30,-53.713764,0.085213686332
1994-12-31,-57.549492000000015,0.07701673559599996
1995-01-31,-56.238624000000016,0.07981806051199997
1995-02-28,-57.700188,0.076694698244
1995-03-31,-64.59195599999998,0.061966990028000046
1995-04-30,-68.02614,0.054628138820000005
1995-05-31,-70.70871600000001,0.04889547390799997
1995-06-30,-74.047428,0.041760646364000016
1995-07-31,-76.661676,0.036173998388000006
1995-08-31,-78.04134000000002,0.03322565641999997
1995-09-30,-78.742872,0.03172648253599999
1995-10-31,-83.15892,0.022289387960000014
1995-11-30,-84.41128800000001,0.019613077543999963
1995-12-31,-87.514128,0.012982308463999993
1996-01-31,-96.63498000000001,-0.0065089522600000295
1996-02-29,-92.38741200000001,0.00256810055599999
1996-03-31,-89.95802400000002,0.00775970271199995
1996-04-30,-89.35664400000002,0.00904485177199998
1996-05-31,-85.719348,0.01681775332400001
1996-06-30,-83.30774400000001,0.021971351071999976
1996-07-31,-83.91286800000003,0.020678201083999922
1996-08-31,-84.56526000000002,0.019284039379999954
1996-09-30,-85.19986800000001,0.017927882083999976
1996-10-31,-82.78592400000002,0.023086480411999944
1996-11-30,-79.181388,0.030789373843999997
1996-12-31,-77.980032,0.033356671616
1997-01-31,-67.32835200000002,0.05611931177599996
1997-02-28,-65.78582400000002,0.05941569411199996
1997-03-31,-65.893464,0.059185667432000016
1997-04-30,-65.96460000000002,0.059033649799999956
1997-05-31,-66.17566800000003,0.05858259748399993
1997-06-30,-65.75680800000004,0.05947770130399993
1997-07-31,-59.19685200000001,0.07349632727599997
1997-08-31,-59.32742400000001,0.07321729491199998
1997-09-30,-57.05575200000001,0.07807185797599997
1997-10-31,-57.193343999999996,0.077777823872
1997-11-30,-59.796828000000005,0.07221417856399999
1997-12-31,-59.29934400000002,0.07327730187199996
1998-01-31,-61.20457200000001,0.06920582963599997
1998-02-28,-62.780328,0.065838439064
1998-03-31,-63.46126799999999,0.06438327028400001
1998-04-30,-65.80360800000003,0.05937768970399995
1998-05-31,-66.00438,0.05894863994
1998-06-30,-71.79354000000001,0.046577205019999984
1998-07-31,-77.023908,0.035399908604
1998-08-31,-78.73398000000003,0.03174548473999995
1998-09-30,-84.85214400000001,0.018670968271999974
1998-10-31,-89.24151600000002,0.009290880307999955
1998-11-30,-88.70799600000001,0.010431012547999998
1998-12-31,-89.26678800000002,0.009236874043999954
1999-01-31,-90.35395200000002,0.006913604575999948
1999-02-28,-93.06460800000002,0.001120932703999955
1999-03-31,-93.60000000000002,-2.3200000000045406e-05
1999-04-30,-91.99382400000002,0.0034091981119999558
1999-05-31,-93.068352,0.0011129317760000036
1999-06-30,-89.326224,0.00910985931199999
1999-07-31,-87.19635600000001,0.013661387227999987
1999-08-31,-86.66283600000003,0.014801519467999924
1999-09-30,-83.93954400000001,0.02062119447199997
1999-10-31,-79.565616,0.029968278608
1999-11-30,-78.53788800000001,0.03216453334399997
1999-12-31,-75.35221200000004,0.038972322955999915
2000-01-31,-71.57030400000002,0.04705426035199995
2000-02-29,-77.019228,0.035409909764
2000-03-31,-73.29862800000001,0.043360831963999986
2000-04-30,-72.78804,0.044451958520000015
2000-05-31,-79.78838400000001,0.029492223391999986
2000-06-30,-79.835184,0.029392211792000005
2000-07-31,-84.65043600000001,0.01910201826799998
2000-08-31,-87.81551999999999,0.012338233760000001
2000-09-30,-86.23836,0.015708624680000016
2000-10-31,-93.07584000000003,0.0010969299199999228
2000-11-30,-98.29029600000001,-0.010046362552000011
2000-12-31,-109.096884,-0.03314004110799999
2001-01-31,-115.665732,-0.047177669283999996
2001-02-28,-117.36176400000001,-0.05080208966800001
2001-03-31,-127.90627200000002,-0.07333570326400003
2001-04-30,-133.451604,-0.085186077748
2001-05-31,-127.654956,-0.072798640972
2001-06-30,-131.657292,-0.08135163300400002
2001-07-31,-130.79196000000002,-0.07950241852000005
2001-08-31,-128.92089600000003,-0.07550395475200006
2001-09-30,-138.12224400000002,-0.09516723542800004
2001-10-31,-135.47898,-0.08951858026
2001-11-30,-130.97682,-0.07989746434
2001-12-31,-121.91493600000001,-0.060532218232000015
2002-01-31,-118.373112,-0.05296334034400001
2002-02-28,-109.381428,-0.03374811163600001
2002-03-31,-100.230624,-0.014192843488000016
2002-04-30,-91.36623600000001,0.004750353667999967
2002-05-31,-89.14838400000002,0.009489903391999946
2002-06-30,-85.202676,0.017921881388000004
2002-07-31,-86.30481599999999,0.015566608208000012
2002-08-31,-84.610656,0.019187028127999994
2002-09-30,-77.008464,0.03543291243199999
